Q4.1,Q90,Q90_4_TEXT,Q91,Q5.1,Q5_9_TEXT,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q20_1_TEXT,Q21,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q48,Q67,Q95,Q102,Q93_1,Q93_2,Q58,Q68,Q59,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66.1,Q66_8_TEXT,Q71,Q67.1,Q84,Q84_8_TEXT,Q88,Q89
25-34,,,No,White or European descent,,Full-time employment,39000,Apartment/condo,Fairview,Parent(s),Dependent adult(s),1,Dog,I have used drugs once or twice a month for the past six months,"Cannabis,Amphetamines,Depressants,Cocaine","Smoking/inhalation,Snorting,Injection,Oral consumption",Yes (please specify),,"At home,At a friend/partner/relative's home,At a safe injection site",Yes,Moderately concerned,No,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Never,Never,Never,Never,Never,Sometimes,"Nothing to hide
",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Quite concerned,Somewhat agree,Somewhat agree,1,2,6,3,4,7,5,8,9,The cost of the treatment,,Quite concerned,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,No,Black,,Full-time employment,8,"Staying with someone else (family, friend)",Mount Pleasant,Parent(s),Children (yours or someone else's),3,Cat,I have used drugs once or twice in the past six months,Hallucinogens,Smoking/inhalation,No,,At a friend/partner/relative's home,Yes,Moderately concerned,No,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,About half the time,About half the time,Most of the time,Never,Sometimes,Don't have anything to share,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,ecstasy,Not at all concerned,Somewhat agree,Strongly disagree,3,2,1,5,6,4,9,7,8,"It is open/available at the time of the emergency,It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Hispanic or Latin American,,Full-time employment,9,Rented apartment/condo,Shaughnessy,I do not live with other people,No,3,"Dog,Small mammal",I have used drugs once or twice in the past six months,Amphetamines,Smoking/inhalation,No,,"At a friend/partner/relative's home,Outside or in a public place",,,Yes,High up in the privacy of the house,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Never,Sometimes,Sometimes,Most of the time,About half the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Amphetamine,Somewhat concerned,Strongly disagree,Somewhat agree,9,3,2,5,8,1,6,7,4,"It is open/available at the time of the emergency,The cost of the treatment",,Not at all concerned,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,Middle Eastern,,Full-time employment,10,"Staying with someone else (family, friend)",Fairview,Partner/spouse,No,2,"Dog,Cat",I have used drugs once or twice in the past six months,Amphetamines,Smoking/inhalation,No,,At a friend/partner/relative's home,Yes,,Yes,Hide it in a safe place,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Most of the time,About half the time,Sometimes,Most of the time,About half the time,"When smoking, I did not intend to let others see, cast an unfriendly look, let me feel very bad",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Amphetamine,Somewhat concerned,Somewhat agree,Somewhat agree,5,3,2,4,8,9,6,1,7,"It is open/available at the time of the emergency,It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff",,Not at all concerned,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Using respectful language,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Male,,No,White or European descent,,Full-time employment,50000,Apartment/condo,Strathcona,Partner/spouse,No,1,Dog,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,No,,At a friend/partner/relative's home,No,,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Always,Always,Always,Always,Always,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Strongly disagree,Somewhat agree,3,2,1,8,9,4,5,6,7,"It is open/available at the time of the emergency,It is convenient/close by,The cost of the treatment",,Extremely concerned,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,Yes,Hispanic or Latin American,,Full-time employment,56000,Shelter or other community-based organization (ex. church),Mount Pleasant,Partner/spouse,Children (yours or someone else's),1,Cat,I use drugs once a week,Depressants,"Smoking/inhalation,Injection,Oral consumption",No,,At a friend/partner/relative's home,No,Somewhat concerned,Yes,Store drugs in a safe place,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,About half the time,Most of the time,About half the time,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Somewhat agree,Neither agree nor disagree,5,2,9,1,6,7,8,4,3,I have a prior relationship with the veterinarian or healthcare staff,,Somewhat concerned,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Emphasizing a commitment to helping your animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,Yes,Middle Eastern,,Piecework/contract work,,"Staying with someone else (family, friend)",UBC/West Point Grey,Sibling(s),Children (yours or someone else's),1,Dog,I have used drugs once or twice a month for the past six months,Depressants,Injection,No,,Outside or in a public place,No,Moderately concerned,No,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,About half the time,About half the time,Sometimes,About half the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Somewhat agree,Somewhat agree,8,6,5,7,2,4,1,3,9,I DO NOT have a prior relationship with the veterinarian of health care staff,,Somewhat concerned,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Emphasizing a commitment to helping your animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Non-binary,,No,Middle Eastern,,Piecework/contract work,,Rented apartment/condo,Kitsilano,Roommate(s),Dependent adult(s),,Small mammal,I use drugs multiple times a week,Amphetamines,Snorting,,,Outside or in a public place,Yes,Somewhat concerned,Yes,,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Sometimes,Most of the time,About half the time,Never,Always,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Moderately concerned,Somewhat agree,Somewhat agree,4,6,3,7,2,8,5,1,9,I have a prior relationship with the veterinarian or healthcare staff,,Somewhat concerned,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Maintaining a friendly demeanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,Yes,Hispanic or Latin American,,Full-time employment,,"Staying with someone else (family, friend)",Mount Pleasant,Roommate(s),No,2,"Dog,Cat",I have used drugs once or twice a month for the past six months,Depressants,Injection,No,,At a safe injection site,Yes,,No,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,About half the time,About half the time,About half the time,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,cocaine,Somewhat concerned,Somewhat agree,Neither agree nor disagree,2,4,7,5,3,8,6,1,9,I DO NOT have a prior relationship with the veterinarian of health care staff,,Moderately concerned,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Discussing patient-vet confidentiality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,No,Middle Eastern,,Full-time employment,,"Staying with someone else (family, friend)",Kitsilano,Sibling(s),Dependent adult(s),1,Cat,I have used drugs once or twice in the past six months,Hallucinogens,Oral consumption,No,,At a safe injection site,No,Moderately concerned,No,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,About half the time,About half the time,Most of the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,crack,Somewhat concerned,Somewhat agree,Neither agree nor disagree,4,6,3,1,2,8,9,5,7,It is convenient/close by,,Somewhat concerned,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Using respectful language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
