Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q4,Q5,Q4,Q90,Q90_4_TEXT,Q91,Q5,Q5_3_TEXT,Q5_9_TEXT,Q6,Q6_8_TEXT,Q7,Q8,Q8_7_TEXT,Q9,Q10,Q10_7_TEXT,Q12,Q13,Q14,Q14_8_TEXT,Q16,Q18,Q18_9_TEXT,Q19,Q19_5_TEXT,Q20,Q20_1_TEXT,Q21,Q21_5_TEXT,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q47_8_TEXT,Q48,Q66,Q67,Q95,Q95_9_TEXT,Q102,Q102_9_TEXT,Q93_1,Q93_2,Q58,Q68,Q68_7_TEXT,Q59,Q59_7_TEXT,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66,Q66_8_TEXT,Q71,Q67,Q84,Q84_8_TEXT,Q88,Q88_8_TEXT,Q89
100,173,TRUE,2023-03-06 12:06,,Yes,Yes,25-34,Male,,Yes,White or European descent,,,Full-time employment,,50000,"Staying with someone else (family, friend)",,,Partner/spouse,,Children (yours or someone else's),2,Dog,,I use drugs once a week,"Amphetamines (ex. speed, meth),Depressants (ex. benzos, barbiturates),Cocaine, crack",,Smoking/inhalation,,Yes (please specify),oxycodone,"At home,At a friend's, partner's, or relative's home",,Yes,Not at all concerned,Yes,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,About half the time,About half the time,About half the time,About half the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,3,5,4,2,1,7,8,6,9,"I have a prior relationship with the veterinarian or healthcare staff,I DO NOT have a prior relationship with the veterinarian of health care staff",,Somewhat concerned,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Emphasizing a commitment to helping your animal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,50,TRUE,2023-03-06 12:08,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,75,TRUE,2023-03-06 12:14,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,791,TRUE,2023-03-06 12:26,,Yes,Yes,25-34,,,No,White or European descent,,,Full-time employment,,39000,Apartment/condo,,Fairview,Parent(s),,Dependent adult(s),1,Dog,,I have used drugs once or twice a month for the past six months,"Cannabis,Amphetamines (ex. speed, meth),Depressants (ex. benzos, barbiturates),Cocaine, crack",,"Smoking/inhalation,Snorting,Injection,Oral consumption",,Yes (please specify),,"At home,At a friend's, partner's, or relative's home,At a safe injection site",,Yes,Moderately concerned,No,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Never,Never,Never,Never,Never,Sometimes,"Nothing to hide
",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Quite concerned,Somewhat agree,Somewhat agree,1,2,6,3,4,7,5,8,9,The cost of the treatment,,Quite concerned,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor,Providing assurance that accidents happen, that it was not your fault,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,244,TRUE,2023-03-06 12:33,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1816,TRUE,2023-03-06 13:03,,Yes,Yes,45-54,Female,,No,White or European descent,,,Full-time employment,,10,House,,Grandview-Woodland,Partner/spouse,,Dependent adult(s),2,Dog,,I have used drugs once or twice a month for the past six months,"Amphetamines (ex. speed, meth)",,Smoking/inhalation,,No,,At home,,Yes,Not at all concerned,Yes,Hiding in a place only you know about,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,"When people around me knew that I was taking drugs, they distanced themselves from me, and I was not willing to attend many parties.",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Crystal meth,Moderately concerned,Somewhat agree,Strongly disagree,1,2,4,8,9,7,5,6,3,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I DO NOT have a prior relationship with the veterinarian of health care staff",,Quite concerned,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,756,TRUE,2023-03-06 13:31,,Yes,Yes,35-44,Male,,No,Black,,,Full-time employment,,8,"Staying with someone else (family, friend)",,Mount Pleasant,Parent(s),,Children (yours or someone else's),3,Cat,,I have used drugs once or twice in the past six months,"Hallucinogens (ex. LSD, magic mushrooms, MDMA/ecstacy)",,Smoking/inhalation,,No,,"At a friend's, partner's, or relative's home",,Yes,Moderately concerned,No,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,About half the time,About half the time,Most of the time,Never,Sometimes,Don't have anything to share,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,ecstasy,Not at all concerned,Somewhat agree,Strongly disagree,3,2,1,5,6,4,9,7,8,"It is open/available at the time of the emergency,It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Providing assurance that accidents happen, that it was not your fault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,502,TRUE,2023-03-06 13:42,,Yes,Yes,25-34,Male,,No,Black,,,Full-time employment,,15,Rented apartment/condo,,Kensington-Cedar Cottage,I do not live with other people,,No,1,Dog,,I have used drugs once or twice a month for the past six months,"Hallucinogens (ex. LSD, magic mushrooms, MDMA/ecstacy)",,Smoking/inhalation,,No,,"At a friend's, partner's, or relative's home",,,,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,About half the time,About half the time,Sometimes,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,ecstasy,Not at all concerned,Neither agree nor disagree,Somewhat agree,4,5,1,9,3,6,7,2,8,"It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I DO NOT have a prior relationship with the veterinarian of health care staff",,Not at all concerned,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,36,TRUE,2023-03-06 13:43,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,523,TRUE,2023-03-06 13:52,,Yes,Yes,25-34,Male,,No,Hispanic or Latin American,,,Full-time employment,,9,Rented apartment/condo,,Shaughnessy,I do not live with other people,,No,3,"Dog,Rat/mouse",,I have used drugs once or twice in the past six months,"Amphetamines (ex. speed, meth)",,Smoking/inhalation,,No,,"At a friend's, partner's, or relative's home,Outside or in a public place",,,,Yes,High up in the privacy of the house,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Never,Sometimes,Sometimes,Most of the time,About half the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Amphetamine,Somewhat concerned,Strongly disagree,Somewhat agree,9,3,2,5,8,1,6,7,4,"It is open/available at the time of the emergency,The cost of the treatment",,Not at all concerned,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
